No;Link Matkul;Name;Kode Matkul;Kategori Matkul
221;https://sikola.unhas.ac.id/courses/0209C20601/index.php;STASE SUB BAGIAN : VESTIBULOGI;0209C20601;11705
222;https://sikola.unhas.ac.id/courses/0209C20801/index.php;TUGAS PENDAHULUAN DAN TUTORIAL;0209C20801;11719
223;https://sikola.unhas.ac.id/courses/0209C21201/index.php;GANGGUAN METABOLIK DAN NEUROTOXICOLOGI;0209C21201;11703
224;https://sikola.unhas.ac.id/courses/0209C21702/index.php;ILMU GIZI DAUR HIDUP;0209C21702;13701
225;https://sikola.unhas.ac.id/courses/0210C20201/index.php;SARI PUSTAKA I;0210C20201;11701
226;https://sikola.unhas.ac.id/courses/0210C20601/index.php;DOKTER JAGA 1;0210C20601;11705
227;https://sikola.unhas.ac.id/courses/0210C20802/index.php;PENELITIAN DAN PRESENTASI REGIONAL / NASIONAL I;0210C20802;11719
228;https://sikola.unhas.ac.id/courses/0210C21201/index.php;MANIFESTASI NEUROLOGIS PENYAKIT SISTEMIK;0210C21201;11703
229;https://sikola.unhas.ac.id/courses/0210C21705/index.php;ILMU GIZI KLINIK DASAR;0210C21705;13701
230;https://sikola.unhas.ac.id/courses/0211C20204/index.php;"NEURO OFTALMOLOGI (2 BULAN) : MODEL RAWAT JALAN ; MODUL RAWAT INAP ; MODUL TINDAKAN KHUSUS";0211C20204;11701
231;https://sikola.unhas.ac.id/courses/0211C20601/index.php;KETERAMPILAN FISIK DIAGNOSTIK II;0211C20601;11705
232;https://sikola.unhas.ac.id/courses/0211C21203/index.php;FUNDAMENTAL NEUROSCIENCE (ANATOMI, FISIOLOGI DAN PA);0211C21203;11703
233;https://sikola.unhas.ac.id/courses/0212C20601/index.php;JOURNAL READING II;0212C20601;11705
234;https://sikola.unhas.ac.id/courses/0212C21202/index.php;STASE SUB BAGIAN NYERI;0212C21202;11703
235;https://sikola.unhas.ac.id/courses/0213C20602/index.php;BEDAH PLASTIK REKONSTRUKSI KL I;0213C20602;11705
236;https://sikola.unhas.ac.id/courses/0213C21202/index.php;STASE SUB BAGIAN NYERI KEPALA DAN WAJAH;0213C21202;11703
