No;Link Matkul;Name;Kode Matkul;Kategori Matkul;Is Found
5014;https://sikola.unhas.ac.id/courses/19L05130903/index.php;MANAJEMEN AGRIBISNIS PERIKANAN;19L05130903;54245;Not Found
5015;https://sikola.unhas.ac.id/courses/19L05131003/index.php;METODE PENELITIAN SOSIAL DAN BISNIS;19L05131003;54245;Not Found
5016;https://sikola.unhas.ac.id/courses/19L05131103/index.php;PERENC. PROG. PENYULUHAN PERIKANAN;19L05131103;54245;Not Found
5017;https://sikola.unhas.ac.id/courses/19L05131203/index.php;EKONOMI PERUSAHAAN PERIKANAN;19L05131203;54245;Not Found
5018;https://sikola.unhas.ac.id/courses/19L05131303/index.php;KELEMBAGAAN PERIKANAN (P);19L05131303;54245;Not Found
5019;https://sikola.unhas.ac.id/courses/19L05131503/index.php;SOSIOLOGI INDUSTRI (P);19L05131503;54245;Not Found
5020;https://sikola.unhas.ac.id/courses/19L05131603/index.php;MANAJEMEN TATANIAGA HASIL PERIKANAN (P);19L05131603;54245;Not Found
5021;https://sikola.unhas.ac.id/courses/19L05131703/index.php;DEMOGRAFI WILAYAH PESISIR DAN KEPULAUAN (P);19L05131703;54245;Not Found
5022;https://sikola.unhas.ac.id/courses/19L05140104/index.php;PRAKTEK KERJA PROFESI SEP;19L05140104;54245;Not Found
5023;https://sikola.unhas.ac.id/courses/19L05140201/index.php;SEMINAR SEP;19L05140201;54245;Not Found
5024;https://sikola.unhas.ac.id/courses/19L05140306/index.php;SKRIPSI SEP;19L05140306;54245;Not Found
5025;https://sikola.unhas.ac.id/courses/19L0520403/index.php;EKONOMI MIKRO;19L0520403;54245;Not Found
5026;https://sikola.unhas.ac.id/courses/19L06110102/index.php;DASAR-DASAR MIKROBIOLOGI;19L06110102;54249;Not Found
5027;https://sikola.unhas.ac.id/courses/19L06120103/index.php;BAHAN BAKU INDUSTRI HASIL PERIKANAN;19L06120103;54249;Not Found
5028;https://sikola.unhas.ac.id/courses/19L06120203/index.php;NUTRISI HASIL PERIKANAN;19L06120203;54249;Not Found
5029;https://sikola.unhas.ac.id/courses/19L06120303/index.php;KIMIA PANGAN (P);19L06120303;54249;Not Found
5030;https://sikola.unhas.ac.id/courses/19L06120403/index.php;MIKROBIOLOGI HASIL PERIKANAN;19L06120403;54249;Not Found
5031;https://sikola.unhas.ac.id/courses/19L06120503/index.php;ADITIF BAHAN PANGAN;19L06120503;54249;Not Found
5032;https://sikola.unhas.ac.id/courses/19L06120603/index.php;TEKNOLOGI BY-PRODUCT HASIL PERIKANAN;19L06120603;54249;Not Found
5033;https://sikola.unhas.ac.id/courses/19L06120703/index.php;SISTEM MANAJEMEN MUTU HASIL PERIKANAN;19L06120703;54249;Not Found
5034;https://sikola.unhas.ac.id/courses/19L06120803/index.php;BIOKIMIA HASIL PERIKANAN ;19L06120803;54249;Not Found
5035;https://sikola.unhas.ac.id/courses/19L06120903/index.php;PENGAWASAN & PENGENDALIAN MUTU HASIL PERIKANAN ;19L06120903;54249;Not Found
5036;https://sikola.unhas.ac.id/courses/19L06121003/index.php;TEKNIK LABORATORIUM HASIL PERIKANAN;19L06121003;54249;Not Found
5037;https://sikola.unhas.ac.id/courses/19L06121103/index.php;TEKNOLOGI PEMANFAATAN MAKROALGA;19L06121103;54249;Not Found
5038;https://sikola.unhas.ac.id/courses/19L06121203/index.php;TOKSIKOLOGI HASIL PERIKANAN  ;19L06121203;54249;Not Found
5039;https://sikola.unhas.ac.id/courses/19L06210102/index.php;FILSAFAT ILMU PERIKANAN;19L06210102;54146;Not Found
5040;https://sikola.unhas.ac.id/courses/19L06210202/index.php;METODOLOGI PENELITIAN PERIKANAN;19L06210202;54146;Found
5041;https://sikola.unhas.ac.id/courses/19L06210302/index.php;ILMU PERIKANAN TERPADU DAN BERKELANJUTAN;19L06210302;54146;Not Found
5042;https://sikola.unhas.ac.id/courses/19L06210402/index.php;KEBIJAKAN PEMBANGUNAN DAN PERUNDANG-UNDANGAN PERIKANAN;19L06210402;54146;Not Found
5043;https://sikola.unhas.ac.id/courses/19L06210503/index.php;EKOLOGI PERAIRAN;19L06210503;54146;Not Found
5044;https://sikola.unhas.ac.id/courses/19L06210703/index.php;Model Dinamika Populasi Dan Evaluasi Stok;19L06210703;54146;Not Found
5045;https://sikola.unhas.ac.id/courses/19L06211003/index.php;BIOFISIKA PENCEMARAN;19L06211003;54146;Not Found
5046;https://sikola.unhas.ac.id/courses/19L06211103/index.php;BIOLOGI REPRODUKSI BIOTA PERAIRAN;19L06211103;54146;Not Found
5047;https://sikola.unhas.ac.id/courses/19L06211203/index.php;IKHTIOLOGI (P);19L06211203;54146;Not Found
5048;https://sikola.unhas.ac.id/courses/19L06211303/index.php;S2-PENGELOLAAN KAWASAN KONSERVASI SUMBERDAYA PERIKANAN (P);19L06211303;54146;Not Found
5049;https://sikola.unhas.ac.id/courses/19L06211403/index.php;S2-REHABILITASI DAN PENGEMBANGAN SUMBERDAYA  PERIKANAN;19L06211403;54146;Not Found
5050;https://sikola.unhas.ac.id/courses/19L06211503/index.php;FISIOLOGI BIOTA AIR TERAPAN;19L06211503;54146;Not Found
5051;https://sikola.unhas.ac.id/courses/19L06211603/index.php;MANAJEMEN DAN TEKNOLOGI BUDIDAYA PERAIRAN;19L06211603;54146;Not Found
5052;https://sikola.unhas.ac.id/courses/19L06211703/index.php;TEKNOLOGI DAN MANAJEMEN PAKAN LANJUTAN;19L06211703;54146;Not Found
5053;https://sikola.unhas.ac.id/courses/19L06211803/index.php;PENYAKIT DAN MANAJEMEN KESEHATAN IKAN (P);19L06211803;54146;Not Found
5054;https://sikola.unhas.ac.id/courses/19L06212003/index.php;MONITORING DAN EVALUASI LINGKUNGAN AKUAKULTUR;19L06212003;54146;Not Found
5055;https://sikola.unhas.ac.id/courses/19L06212103/index.php;Bioteknologi Perikanan Terapan;19L06212103;54146;Not Found
5056;https://sikola.unhas.ac.id/courses/19L06212203/index.php;FISIOLOGI BIOKIMIA NUTRISI;19L06212203;54146;Not Found
5057;https://sikola.unhas.ac.id/courses/19L06212603/index.php;Desain dan Konstruksi Alat Tangkap Perikanan;19L06212603;54146;Not Found
5058;https://sikola.unhas.ac.id/courses/19L06212703/index.php;TEKNOLOGI DAN INSTRUMEN PENANGKAPAN IKAN;19L06212703;54146;Not Found
5059;https://sikola.unhas.ac.id/courses/19L06213003/index.php;TEKNOLOGI PENANGKAPAN IKAN BERTANGGUNGJAWAB;19L06213003;54146;Found
5060;https://sikola.unhas.ac.id/courses/19L06213103/index.php;ANALISIS DAERAH PENANGKAPAN IKAN;19L06213103;54146;Not Found
5061;https://sikola.unhas.ac.id/courses/19L06213203/index.php;OPTIMALISASI PEMANFAATAN SUMBERDAYA PERIKANAN;19L06213203;54146;Not Found
5062;https://sikola.unhas.ac.id/courses/19L06213303/index.php;SISTEM INFORMASI MANAJEMEN PERIKANAN;19L06213303;54146;Not Found
5063;https://sikola.unhas.ac.id/courses/19L06213403/index.php;PENGAWASAN DAN PENGENDALIAN MUTU HASIL PERIKANAN;19L06213403;54146;Not Found
5064;https://sikola.unhas.ac.id/courses/19L06213503/index.php;Bioteknologi Hasil Perairan;19L06213503;54146;Not Found
5065;https://sikola.unhas.ac.id/courses/19L06213603/index.php;KONTROL DAN PEMERIKSAAN KUALITAS HASIL PERIKANAN;19L06213603;54146;Not Found
5066;https://sikola.unhas.ac.id/courses/19L06213703/index.php;KEAMANAN PRODUK PERIKANAN;19L06213703;54146;Found
5067;https://sikola.unhas.ac.id/courses/19L06213803/index.php;TEKNOLOGI HASIL PERIKANAN;19L06213803;54146;Not Found
5068;https://sikola.unhas.ac.id/courses/19L06213903/index.php;EKONOMI PEMBANGUNAN PERIKANAN;19L06213903;54146;Not Found
5069;https://sikola.unhas.ac.id/courses/19L06214003/index.php;BIOEKONOMI PERIKANAN LANJUTAN;19L06214003;54146;Not Found
5070;https://sikola.unhas.ac.id/courses/19L06214103/index.php;VALUASI EKONOMI SUMBERDAYA PERIKANAN;19L06214103;54146;Not Found
5071;https://sikola.unhas.ac.id/courses/19L06214203/index.php;Inovasi dan Kewirausahaan Perikanan;19L06214203;54146;Not Found
5072;https://sikola.unhas.ac.id/courses/19L06214403/index.php;EKONOMI SUMBERDAYA PERIKANAN;19L06214403;54146;Not Found
5073;https://sikola.unhas.ac.id/courses/19L06214602/index.php;SEMINAR PROPOSAL PENELITIAN;19L06214602;54146;Not Found
5074;https://sikola.unhas.ac.id/courses/19L06214704/index.php;SEMINAR HASIL PENELITIAN;19L06214704;54146;Not Found
5075;https://sikola.unhas.ac.id/courses/19L06214805/index.php;PENERBITAN JURNAL;19L06214805;54146;Not Found
5076;https://sikola.unhas.ac.id/courses/19L06214901/index.php;KOLOKIUM;19L06214901;54146;Not Found
5077;https://sikola.unhas.ac.id/courses/19L06220109/index.php;Tesis dan Ujian Tesis;19L06220109;54146;Not Found
5078;https://sikola.unhas.ac.id/courses/19L07210103/index.php;PENGELOLAAN TERPADU DAN LAUTAN;19L07210103;54145;Not Found
5079;https://sikola.unhas.ac.id/courses/19L07210202/index.php;METODOLOGI PENELITIAN;19L07210202;54145;Not Found
5080;https://sikola.unhas.ac.id/courses/19L07210302/index.php;EKOLOGI WILAYAH PESISIR DAN LAUTAN;19L07210302;54145;Found
5081;https://sikola.unhas.ac.id/courses/19L07210402/index.php;OSEANOGRAFI LANJUTAN;19L07210402;54145;Not Found
5082;https://sikola.unhas.ac.id/courses/19L07210603/index.php;KONSERVASI LAUT (P);19L07210603;54145;Not Found
5083;https://sikola.unhas.ac.id/courses/19L07210703/index.php;ANALISIS SISTEM DAN PEMODELAN DINAMIK SUMBERDAYA PESISIR;19L07210703;54145;Found
5084;https://sikola.unhas.ac.id/courses/19L07210803/index.php;HUKUM DAN KEBIJAKAN PENGELOLAAN WILAYAH PESISIR & LAUTAN (P);19L07210803;54145;Not Found
5085;https://sikola.unhas.ac.id/courses/19L07210903/index.php;SISTEM SOSIAL, EKONOMI, DAN BUDAYA MASYARAKAT PANTAI (P);19L07210903;54145;Not Found
5086;https://sikola.unhas.ac.id/courses/19L07211003/index.php;PENGINDERAAN JAUH DAN SISTEM INFORMASI GEOGRAFIS;19L07211003;54145;Not Found
5087;https://sikola.unhas.ac.id/courses/19L07211103/index.php;PENGELOLAAN EKOWISATA PESISIR DAN LAUT;19L07211103;54145;Not Found
5088;https://sikola.unhas.ac.id/courses/19L07211203/index.php;VALUASI JASA EKOSISTEM PESISIR DAN LAUT (P);19L07211203;54145;Not Found
